,K-O,Hi-Lo,Hi-Opt I,Hi-Opt II,Knock-Out,KISS,Zen,Omega II,Red 7,Wizard Ace,Halves,No Strategy
1892,50.4821,50.103,50.401,50.3673,50.1308,50.0299,50.3391,50.2405,50.4068,50.0,50.0668,50.6197
1893,50.4814,50.0972,50.4003,50.37,50.1341,50.0328,50.3476,50.2423,50.4027,50.0058,50.0706,50.6199
1894,50.4778,50.0991,50.3953,50.3803,50.1326,50.0304,50.357,50.2445,50.4058,50.0139,50.0706,50.6195
1895,50.4857,50.0904,50.4042,50.3768,50.1273,50.0285,50.3487,50.241,50.4152,50.0187,50.0672,50.6183
1896,50.4892,50.0937,50.4025,50.3679,50.1277,50.0405,50.3422,50.2524,50.4112,50.0207,50.0633,50.6228
1897,50.4957,50.0883,50.4014,50.3615,50.1334,50.0424,50.3387,50.2504,50.4086,50.0173,50.0676,50.6215
1898,50.5016,50.0864,50.3997,50.3632,50.128,50.0501,50.3313,50.2526,50.4036,50.0086,50.0628,50.6279
1899,50.5033,50.0825,50.4057,50.3645,50.1356,50.0544,50.3441,50.2453,50.4091,50.0115,50.0556,50.6179
1900,50.5049,50.0848,50.3974,50.3676,50.1341,50.051,50.3478,50.2461,50.4074,50.0201,50.0474,50.6272
1901,50.5037,50.0867,50.3981,50.365,50.1421,50.0514,50.3509,50.2393,50.4067,50.0206,50.0426,50.6225
1902,50.4958,50.0862,50.3979,50.3591,50.1406,50.0577,50.3488,50.2483,50.4051,50.0244,50.0359,50.6179
1903,50.4984,50.079,50.3886,50.3546,50.141,50.0557,50.3525,50.2453,50.3982,50.0177,50.0316,50.6233
1904,50.5024,50.0866,50.3827,50.3525,50.1429,50.0514,50.3595,50.238,50.4204,50.0225,50.0306,50.6192
1905,50.5031,50.0889,50.3916,50.3495,50.1533,50.0566,50.3574,50.2398,50.4274,50.0186,50.0177,50.6265
1906,50.5004,50.0922,50.3904,50.3479,50.1537,50.0575,50.35,50.2449,50.4272,50.0268,50.021,50.6291
1907,50.5016,50.095,50.3955,50.3515,50.1526,50.058,50.3513,50.2443,50.4298,50.0239,50.0162,50.635
1908,50.5066,50.0955,50.3957,50.3561,50.154,50.0541,50.3616,50.2423,50.4348,50.0306,50.0119,50.6318
1909,50.5035,50.094,50.3931,50.3588,50.1558,50.0517,50.3661,50.2469,50.4384,50.0301,50.0119,50.6243
1910,50.5022,50.0944,50.3925,50.351,50.1529,50.0502,50.3655,50.2363,50.4363,50.0296,50.011,50.6144
1911,50.4996,50.0929,50.3989,50.3513,50.1542,50.0583,50.3591,50.2281,50.4327,50.0253,50.0186,50.6083
1912,50.5046,50.0962,50.4077,50.353,50.1575,50.0521,50.3522,50.2232,50.4301,50.0252,50.0195,50.6137
1913,50.5067,50.089,50.4014,50.3447,50.1531,50.064,50.354,50.2274,50.4275,50.0205,50.0171,50.6086
1914,50.5054,50.0818,50.4035,50.3483,50.1454,50.0797,50.3481,50.2244,50.4183,50.0209,50.0171,50.625
1915,50.5014,50.0856,50.3952,50.3581,50.1378,50.0778,50.3384,50.2276,50.4104,50.0219,50.0171,50.6171
1916,50.5068,50.0908,50.3979,50.3575,50.1259,50.0773,50.3387,50.2237,50.4055,50.02,50.0195,50.6134
1917,50.5113,50.0926,50.4,50.3615,50.1244,50.0772,50.3452,50.2179,50.4053,50.0299,50.0171,50.6188
1918,50.5115,50.0926,50.4003,50.3561,50.1172,50.0758,50.3511,50.213,50.4031,50.0275,50.0109,50.6175
1919,50.5117,50.0987,50.4029,50.3474,50.1177,50.0638,50.3586,50.22,50.4034,50.0195,50.0204,50.6119
1920,50.5142,50.0963,50.3989,50.3486,50.1124,50.0704,50.3607,50.2251,50.3909,50.0157,50.0194,50.6088
1921,50.5211,50.0958,50.3916,50.3433,50.11,50.0633,50.3596,50.2387,50.3845,50.0194,50.0242,50.6198
1922,50.5132,50.0862,50.3943,50.3346,50.1057,50.0718,50.3679,50.2452,50.373,50.0175,50.0189,50.6157
1923,50.5205,50.0862,50.3931,50.333,50.1085,50.0694,50.3658,50.2399,50.3676,50.0099,50.0241,50.6183
1924,50.5193,50.0951,50.391,50.3281,50.1084,50.075,50.3718,50.2402,50.365,50.0208,50.0284,50.6175
1925,50.5148,50.0889,50.3903,50.3274,50.1178,50.0665,50.3697,50.2415,50.3615,50.0237,50.0227,50.6153
1926,50.5164,50.0903,50.393,50.3249,50.113,50.0674,50.3639,50.2419,50.3547,50.0189,50.0302,50.6149
1927,50.5086,50.0846,50.3975,50.3294,50.1096,50.0697,50.3514,50.2526,50.3484,50.0189,50.0231,50.6051
1928,50.5022,50.0779,50.4001,50.3255,50.1138,50.0806,50.3456,50.26,50.3463,50.0175,50.017,50.6119
1929,50.4964,50.0826,50.4079,50.3282,50.1236,50.0815,50.3454,50.2618,50.3462,50.0231,50.025,50.6111
1930,50.4919,50.0793,50.4124,50.3308,50.1193,50.0885,50.3452,50.2616,50.3512,50.0278,50.0255,50.6061
1931,50.4789,50.0797,50.4122,50.3382,50.123,50.0951,50.3389,50.2587,50.3514,50.0354,50.0264,50.6195
1932,50.4768,50.0938,50.4191,50.3465,50.1178,50.0913,50.3387,50.2552,50.348,50.0377,50.0268,50.6187
1933,50.4761,50.1046,50.4268,50.3345,50.1201,50.0898,50.3315,50.2546,50.3516,50.0405,50.0254,50.6132
1934,50.4829,50.1111,50.4247,50.3287,50.1242,50.0931,50.329,50.2639,50.3612,50.0452,50.0254,50.611
1935,50.4771,50.1078,50.4198,50.3276,50.1214,50.0902,50.3119,50.2746,50.378,50.0471,50.0277,50.6121
1936,50.4801,50.1204,50.4121,50.3312,50.1208,50.0854,50.3056,50.2763,50.3722,50.0428,50.0315,50.6165
1937,50.4817,50.1171,50.4142,50.3371,50.117,50.0811,50.3134,50.2762,50.3795,50.0522,50.031,50.6133
1938,50.4829,50.1071,50.4197,50.3351,50.1198,50.0863,50.318,50.2793,50.3652,50.0667,50.0254,50.6069
1939,50.4849,50.1109,50.4246,50.3288,50.1249,50.083,50.3122,50.2764,50.358,50.0705,50.0253,50.6103
1940,50.4861,50.1155,50.4309,50.3324,50.1271,50.0824,50.3125,50.2842,50.3545,50.0747,50.0239,50.6081
1941,50.4802,50.1164,50.4279,50.3294,50.1224,50.0805,50.3025,50.292,50.3562,50.0718,50.0211,50.6059
1942,50.4805,50.1163,50.4207,50.3302,50.1186,50.0805,50.3018,50.2853,50.3621,50.0671,50.0216,50.5976
1943,50.4737,50.12,50.4181,50.3398,50.1181,50.0771,50.3073,50.2936,50.361,50.0652,50.0197,50.603
1944,50.4837,50.1134,50.4272,50.3326,50.1222,50.087,50.3015,50.2976,50.3692,50.0576,50.0253,50.6102
1945,50.4811,50.1129,50.4284,50.3404,50.1222,50.086,50.3014,50.3003,50.3602,50.0712,50.0225,50.6014
1946,50.4832,50.1095,50.4385,50.3482,50.1184,50.0864,50.304,50.3053,50.3604,50.0786,50.0224,50.6044
1947,50.4843,50.1053,50.435,50.3471,50.1192,50.0732,50.3095,50.3103,50.3556,50.088,50.0262,50.6214
1948,50.4846,50.1052,50.431,50.3432,50.1322,50.083,50.3037,50.3106,50.3549,50.094,50.0308,50.6286
1949,50.4787,50.1037,50.4294,50.3439,50.121,50.0844,50.3087,50.309,50.3562,50.0804,50.0303,50.6414
